诋	诋 詆
砀	砀 碭
籴	籴 糴
炖	炖 燉
垱	垱 壋
笃	笃 篤
胨	胨 腖
怼	怼 懟
珰	珰 璫
鸫	鸫 鶇
趸	趸 躉
钿	钿 鈿
铎	铎 鐸
郸	郸 鄲
焘	焘 燾
掸	掸 撣
啖	啖 啗
铫	铫 銚
阇	阇 闍
渎	渎 瀆
惮	惮 憚
裆	裆 襠
谛	谛 諦
椟	椟 櫝
殚	殚 殫
赕	赕 賧
犊	犊 犢
牍	牍 牘
谠	谠 讜
跶	跶 躂
锝	锝 鍀
锭	锭 錠
煅	煅 煆
窦	窦 竇
箪	箪 簞
鞑	鞑 韃
镝	镝 鏑
鲷	鲷 鯛
镦	镦 鐓
镫	镫 鐙
簖	簖 籪
鲽	鲽 鰈
黩	黩 黷
癫	癫 癲
轪	轪 軑
岽	岽 崬
饳	饳 飿
绐	绐 紿
垯	垯 墶
荙	荙 薘
哒	哒 噠
耑	耑 端
钭	钭 鈄
绖	绖 絰
鱽	鱽 魛
窎	窎 窵
铞	铞 銱
铥	铥 銩
觌	觌 覿
筜	筜 簹
瘅	瘅 癉
叇	叇 靆
亸	亸 嚲
儿	儿 兒
尔	尔 爾
讹	讹 訛
贰	贰 貳
饵	饵 餌
恶	恶 惡
饿	饿 餓
鹅	鹅 鵝
额	额 額
鳄	鳄 鰐
轭	轭 軛
迩	迩 邇
垩	垩 堊
鸸	鸸 鴯
铒	铒 鉺
阏	阏 閼
谔	谔 諤
锇	锇 鋨
腭	腭 齶
鹗	鹗 鶚
锷	锷 鍔
颚	颚 顎
鲕	鲕 鮞
飞	飞 飛
丰	丰 豐
风	风 風
凤	凤 鳳
冯	冯 馮
发	发 髮 發
仿	仿 倣
负	负 負
讽	讽 諷
访	访 訪
妇	妇 婦
抚	抚 撫
坟	坟 墳
佛	佛 彿
饭	饭 飯
泛	泛 汎
纷	纷 紛
纺	纺 紡
范	范 範
枫	枫 楓
矾	矾 礬
奋	奋 奮
贩	贩 販
肤	肤 膚
废	废 廢
罚	罚 罰
复	复 復 複
疯	疯 瘋
阀	阀 閥
费	费 費
俯	俯 頫
烦	烦 煩
诽	诽 誹
辅	辅 輔
赋	赋 賦
锋	锋 鋒
粪	粪 糞
愤	愤 憤
辐	辐 輻
缚	缚 縛
缝	缝 縫
翻	翻 繙
讣	讣 訃
凫	凫 鳬
呒	呒 嘸
沣	沣 灃
沨	沨 渢
钒	钒 釩
绂	绂 紱
驸	驸 駙
珐	珐 琺
砜	砜 碸
钫	钫 鈁
麸	麸 麩
偾	偾 僨
绯	绯 緋
鲂	鲂 魴
鲋	鲋 鮒
赙	赙 賻
幞	幞 襆
鲱	鲱 鯡
鲼	鲼 鱝
绋	绋 紼
韨	韨 韍
赗	赗 賵
镄	镄 鐨
豮	豮 豶
干	干 幹 乾
个	个 個
广	广 廣
冈	冈 岡
归	归 歸
巩	巩 鞏
过	过 過
轨	轨 軌
刚	刚 剛
关	关 關
观	观 觀
贡	贡 貢
岗	岗 崗
谷	谷 榖
龟	龟 龜
沟	沟 溝
纲	纲 綱
规	规 規
拐	拐 枴 柺
柜	柜 櫃
构	构 構
国	国 國
购	购 購
刮	刮 颳
秆	秆 稈
诡	诡 詭
该	该 該
贯	贯 貫
挂	挂 掛
贵	贵 貴
钙	钙 鈣
钢	钢 鋼
钩	钩 鈎
闺	闺 閨
阁	阁 閣
宫	宫 宮
给	给 給
赶	赶 趕
贾	贾 賈
顾	顾 顧
硅	硅 矽
鸽	鸽 鴿
够	够 夠
馆	馆 館
盖	盖 蓋
惯	惯 慣
搁	搁 擱
锅	锅 鍋
尴	尴 尷
滚	滚 滾
管	管 琯
镐	镐 鎬
赣	赣 贛
亘	亘 亙
犷	犷 獷
诂	诂 詁
妫	妫 嬀
匦	匦 匭
刿	刿 劌
刽	刽 劊
诖	诖 詿
诟	诟 詬
绀	绀 紺
轱	轱 軲
剐	剐 剮
饹	饹 餎
诰	诰 誥
埚	埚 堝
鸪	鸪 鴣
桧	桧 檜
赅	赅 賅
钴	钴 鈷
皋	皋 臯
衮	衮 袞
绠	绠 綆
掴	掴 摑
掼	掼 摜
龚	龚 龔
蛊	蛊 蠱
帼	帼 幗
铬	铬 鉻
鸹	鸹 鴰
馃	馃 餜
绲	绲 緄
琯	琯 管
椁	椁 槨
辊	辊 輥
锆	锆 鋯
鹄	鹄 鵠
赓	赓 賡
缑	缑 緱
毂	毂 轂
锢	锢 錮
缟	缟 縞
觏	觏 覯
榖	榖 谷
蝈	蝈 蟈
鹘	鹘 鶻
鲑	鲑 鮭
镉	镉 鎘
鲠	鲠 鯁
鲧	鲧 鯀
鲴	鲴 鯝
鳏	鳏 鰥
鳜	鳜 鱖
鹳	鹳 鸛
戆	戆 戇
钆	钆 釓
唝	唝 嗊
腘	腘 膕
馉	馉 餶
鹒	鹒 鶊
鬶	鬶 鬹
鳡	鳡 鱤
户	户 戶
号	号 號
汇	汇 匯 彙
汉	汉 漢
划	划 劃
回	回 迴
华	华 華
伙	伙 夥
后	后 後
会	会 會
合	合 閤
讳	讳 諱
欢	欢 歡
红	红 紅
坏	坏 壞
护	护 護
还	还 還
沪	沪 滬
怀	怀 懷
环	环 環
画	画 畫
轰	轰 轟
货	货 貨
话	话 話
挥	挥 揮
荤	荤 葷
胡	胡 鬍
哗	哗 嘩
浑	浑 渾
诲	诲 誨
贺	贺 賀
绘	绘 繪
骇	骇 駭
换	换 換
壶	壶 壺
获	获 獲 穫
桦	桦 樺
唤	唤 喚
贿	贿 賄
涣	涣 渙
黄	黄 黃
秽	秽 穢
焊	焊 釬 銲
焕	焕 煥
鸿	鸿 鴻
谎	谎 謊
祸	祸 禍
韩	韩 韓
辉	辉 輝
痪	痪 瘓
缓	缓 緩
毁	毁 毀 燬
横	横 橫
鹤	鹤 鶴
讧	讧 訌
纥	纥 紇
奂	奂 奐
闳	闳 閎
诃	诃 訶
诙	诙 詼
诨	诨 諢
顸	顸 頇
荟	荟 薈
咴	咴 噅
饸	饸 餄
阂	阂 閡
浒	浒 滸
骅	骅 驊
绗	绗 絎
珲	珲 琿
蚝	蚝 蠔
颃	颃 頏
烩	烩 燴
铧	铧 鏵
铪	铪 鉿
鸻	鸻 鴴
馄	馄 餛
阍	阍 閽
颌	颌 頜
翚	翚 翬
颔	颔 頷
阖	阖 闔
鲎	鲎 鱟
鹕	鹕 鶘
鲩	鲩 鯇
缳	缳 繯
鳇	鳇 鰉
颢	颢 顥
镬	镬 鑊
灏	灏 灝
冱	冱 沍
纮	纮 紘
荭	荭 葒
轷	轷 軤
钬	钬 鈥
袆	袆 褘
晖	晖 暉
龁	龁 齕
婳	婳 嫿
翙	翙 翽
锪	锪 鍃
夥	夥 伙
鹖	鹖 鶡
锽	锽 鍠
锾	锾 鍰
鲘	鲘 鮜
糇	糇 餱
黉	黉 黌
镮	镮 鐶
鹱	鹱 鸌
彟	彟 彠
鳠	鳠 鱯
几	几 幾
见	见 見
仅	仅 僅
计	计 計
讥	讥 譏
击	击 擊
节	节 節
旧	旧 舊
叽	叽 嘰
饥	饥 饑
记	记 記
纠	纠 糾
机	机 機
夹	夹 夾
价	价 價
决	决 決
讲	讲 講
军	军 軍
诀	诀 訣
尽	尽 盡 儘
阶	阶 階
级	级 級
纪	纪 紀
进	进 進
极	极 極
歼	歼 殲
坚	坚 堅
间	间 間
局	局 侷
际	际 際
劲	劲 勁
鸡	鸡 鷄
拣	拣 揀
茎	茎 莖
杰	杰 傑
侥	侥 僥
径	径 徑
剂	剂 劑
净	净 淨
卷	卷 捲
届	届 屆
驾	驾 駕
艰	艰 艱
驹	驹 駒
经	经 經
挤	挤 擠
荆	荆 荊
荐	荐 薦
茧	茧 繭
贱	贱 賤
钧	钧 鈞
俭	俭 儉
剑	剑 劍
饺	饺 餃
将	将 將
奖	奖 奬
迹	迹 跡
姜	姜 薑
洁	洁 潔
浇	浇 澆
济	济 濟
举	举 舉
觉	觉 覺
诫	诫 誡
娇	娇 嬌
结	结 結
骄	骄 驕
绝	绝 絶
绞	绞 絞
捡	捡 撿
晋	晋 晉
轿	轿 轎
较	较 較
监	监 監
紧	紧 緊
钾	钾 鉀
积	积 積
借	借 藉
舰	舰 艦
胶	胶 膠
桨	桨 槳
浆	浆 漿
竞	竞 競
涧	涧 澗
家	家 傢
剧	剧 劇
绢	绢 絹
继	继 繼
骏	骏 駿
据	据 據
检	检 檢
矫	矫 矯
脚	脚 腳
减	减 減
渐	渐 漸
惧	惧 懼
惊	惊 驚
颈	颈 頸
绩	绩 績
搅	搅 攪
蒋	蒋 蔣
颊	颊 頰
践	践 踐
鹃	鹃 鵑
溅	溅 濺
缉	缉 緝
辑	辑 輯
鉴	鉴 鑒
锦	锦 錦
键	键 鍵
锯	锯 鋸
简	简 簡
酱	酱 醬
谨	谨 謹
剿	剿 勦
静	静 靜
槛	槛 檻
碱	碱 鹼 堿
鲫	鲫 鯽
镜	镜 鏡
鲸	鲸 鯨
缰	缰 繮
缴	缴 繳
藉	藉 借
讦	讦 訐
玑	玑 璣
讵	讵 詎
矶	矶 磯
鸠	鸠 鳩
疖	疖 癤
刭	刭 剄
枧	枧 梘
郏	郏 郟
虮	虮 蟣
饯	饯 餞
泾	泾 涇
诘	诘 詰
珏	珏 玨
荚	荚 莢
荠	荠 薺
荩	荩 藎
峤	峤 嶠
胫	胫 脛
浃	浃 浹
浕	浕 濜
绛	绛 絳
觊	觊 覬
笕	笕 筧
隽	隽 雋
痉	痉 痙
阄	阄 鬮
烬	烬 燼
浚	浚 濬
厩	厩 廄
铗	铗 鋏
铰	铰 鉸
笺	笺 箋
谏	谏 諫
皲	皲 皸
靓	靓 靚
颉	颉 頡
赍	赍 賫
睑	睑 瞼
蛱	蛱 蛺
锏	锏 鐧
锔	锔 鋦
飓	飓 颶
颎	颎 熲
裥	裥 襇
缄	缄 緘
蓟	蓟 薊
榉	榉 櫸
龃	龃 齟
跻	跻 躋
锩	锩 錈
缙	缙 縉
缣	缣 縑
戬	戬 戩
霁	霁 霽
鲚	鲚 鱭
鲛	鲛 鮫
馑	馑 饉
谲	谲 譎
觐	觐 覲
镌	镌 鎸
镓	镓 鎵
鲣	鲣 鰹
齑	齑 齏
屦	屦 屨
羁	羁 羈
镢	镢 鐝
鹪	鹪 鷦
鹫	鹫 鷲
鞯	鞯 韉
骥	骥 驥
戋	戋 戔
坰	坰 垧
卺	卺 巹
迳	迳 逕
钜	钜 鉅
赆	赆 贐
桊	桊 棬
琎	琎 璡
鱾	鱾 魢
谫	谫 謭
槚	槚 檟
鲒	鲒 鮚
窭	窭 窶
鲪	鲪 鮶
鹡	鹡 鶺
鹣	鹣 鶼
篯	篯 籛
鳉	鳉 鱂
鳒	鳒 鰜
亏	亏 虧
开	开 開
扣	扣 釦
扩	扩 擴
夸	夸 誇
抠	抠 摳
壳	壳 殻
块	块 塊
克	克 剋
旷	旷 曠
困	困 睏
况	况 況
库	库 庫
矿	矿 礦
昆	昆 崐 崑
凯	凯 凱
垦	垦 墾
捆	捆 梱 綑
宽	宽 寬
课	课 課
恳	恳 懇
铐	铐 銬
馈	馈 饋
阔	阔 闊
溃	溃 潰
裤	裤 褲
窥	窥 窺
颗	颗 顆
邝	邝 鄺
圹	圹 壙
忾	忾 愾
咔	咔 哢
岿	岿 巋
剀	剀 剴
侩	侩 儈
诓	诓 誆
剋	剋 克
轲	轲 軻
眍	眍 瞘
哙	哙 噲
贶	贶 貺
狯	狯 獪
闿	闿 闓
浍	浍 澮
恺	恺 愷
诳	诳 誑
绔	绔 絝
脍	脍 膾
阃	阃 閫
匮	匮 匱
铠	铠 鎧
龛	龛 龕
骒	骒 騍
铿	铿 鏗
颏	颏 頦
愦	愦 憒
喾	喾 嚳
缂	缂 緙
锞	锞 錁
锟	锟 錕
锴	锴 鍇
阚	阚 闞
聩	聩 聵
篑	篑 簣
鲲	鲲 鯤
髋	髋 髖
纩	纩 纊
闶	闶 閌
郐	郐 鄶
垲	垲 塏
钪	钪 鈧
硁	硁 硜
壸	壸 壼
裈	裈 褌
蒉	蒉 蕢
锎	锎 鐦
骙	骙 騤
鹍	鹍 鵾
鲙	鲙 鱠
了	了 瞭
历	历 曆 歷
仑	仑 侖
厉	厉 厲
龙	龙 龍
卢	卢 盧
乐	乐 樂
兰	兰 蘭
礼	礼 禮
辽	辽 遼
吕	吕 呂
伦	伦 倫
刘	刘 劉
论	论 論
抡	抡 掄
芦	芦 蘆
劳	劳 勞
两	两 兩
丽	丽 麗
励	励 勵
来	来 來
连	连 連
卤	卤 滷 鹵
里	里 裏
乱	乱 亂
邻	邻 鄰
疗	疗 療
庐	庐 廬
沥	沥 瀝
沦	沦 淪
灵	灵 靈
陆	陆 陸
驴	驴 驢
拢	拢 攏
拦	拦 攔
垄	垄 壟
轮	轮 輪
虏	虏 虜
咙	咙 嚨
罗	罗 羅
岭	岭 嶺
侣	侣 侶
炉	炉 爐
泪	泪 淚
怜	怜 憐
帘	帘 簾
录	录 録
隶	隶 隸
练	练 練
栏	栏 欄
临	临 臨
览	览 覧
俩	俩 倆
胧	胧 朧
峦	峦 巒
类	类 類
娄	娄 婁
炼	炼 煉
烂	烂 爛
浏	浏 瀏
垒	垒 壘
骆	骆 駱
络	络 絡
捞	捞 撈
莱	莱 萊
莲	莲 蓮
栗	栗 慄
砾	砾 礫
虑	虑 慮
唠	唠 嘮
赂	赂 賂
铃	铃 鈴
赁	赁 賃
留	留 畱
凌	凌 淩
恋	恋 戀
离	离 離
凉	凉 涼
涝	涝 澇
谅	谅 諒
琅	琅 瑯
萝	萝 蘿
聋	聋 聾
辆	辆 輛
颅	颅 顱
累	累 纍
啰	啰 囉
逻	逻 邏
铝	铝 鋁
笼	笼 籠
敛	敛 斂
领	领 領
脸	脸 臉
猎	猎 獵
绿	绿 緑
揽	揽 攬
搂	搂 摟
联	联 聯
棱	棱 稜
雳	雳 靂
睐	睐 睞
链	链 鏈
腊	腊 臘
鲁	鲁 魯
禄	禄 祿
屡	屡 屢
缆	缆 纜
缕	缕 縷
蓝	蓝 藍
榄	榄 欖
楼	楼 樓
赖	赖 賴
龄	龄 齡
锣	锣 鑼
馏	馏 餾
粮	粮 糧
滤	滤 濾
滥	滥 濫
溜	溜 霤
漓	漓 灕
璃	璃 琍
蜡	蜡 蠟
箩	箩 籮
骡	骡 騾
篓	篓 簍
鲤	鲤 鯉
凛	凛 凜
澜	澜 瀾
缭	缭 繚
篮	篮 籃
篱	篱 籬
懒	懒 懶
瞭	瞭 了
镰	镰 鐮
鳞	鳞 鱗
躏	躏 躪
苈	苈 藶
奁	奁 奩
呖	呖 嚦
岚	岚 嵐
囵	囵 圇
钌	钌 釕
陇	陇 隴
纶	纶 綸
垆	垆 壚
茏	茏 蘢
枥	枥 櫪
疠	疠 癘
泷	泷 瀧
泸	泸 瀘
泺	泺 濼
诔	诔 誄
珑	珑 瓏
荦	荦 犖
栊	栊 櫳
栌	栌 櫨
栎	栎 櫟
郦	郦 酈
轳	轳 轤
俪	俪 儷
胪	胪 臚
孪	孪 孿
娈	娈 孌
疬	疬 癧
闾	闾 閭
莅	莅 蒞 涖
逦	逦 邐
砺	砺 礪
砻	砻 礱
辂	辂 輅
鸬	鸬 鸕
眬	眬 矓
崂	崂 嶗
崃	崃 崍
徕	徕 徠
栾	栾 欒
挛	挛 攣
阆	阆 閬
涞	涞 淶
涟	涟 漣
骊	骊 驪
琏	琏 璉
掳	掳 擄
梿	梿 槤
棂	棂 欞
殓	殓 殮
赉	赉 賚
蛎	蛎 蠣
铑	铑 銠
偻	偻 僂
舻	舻 艫
猡	猡 玀
鸾	鸾 鸞
粝	粝 糲
渌	渌 淥
绫	绫 綾
绺	绺 綹
蒌	蒌 蔞
椤	椤 欏
鹂	鹂 鸝
跞	跞 躒
喽	喽 嘍
嵝	嵝 嶁
铼	铼 錸
锂	锂 鋰
锒	锒 鋃
脔	脔 臠
痨	痨 癆
阑	阑 闌
裢	裢 褳
耢	耢 耮
蓠	蓠 蘺
榈	榈 櫚
鲈	鲈 鱸
滦	滦 灤
骝	骝 騮
缡	缡 縭
蔺	蔺 藺
镂	镂 鏤
箓	箓 籙
銮	銮 鑾
瘘	瘘 瘻
潋	潋 瀲
褛	褛 褸
谰	谰 讕
缧	缧 縲
耧	耧 耬
撸	撸 擼
辘	辘 轆
蝼	蝼 螻
噜	噜 嚕
镏	镏 鎦
鲡	鲡 鱺
鲢	鲢 鰱
褴	褴 襤
橹	橹 櫓
辚	辚 轔
镠	镠 鏐
氇	氇 氌
魉	魉 魎
鲮	鲮 鯪
廪	廪 廩
斓	斓 斕
濑	濑 瀨
檩	檩 檁
鹩	鹩 鷯
镣	镣 鐐
镧	镧 鑭
鹭	鹭 鷺
髅	髅 髏
镭	镭 鐳
癞	癞 癩
籁	籁 籟
鳓	鳓 鰳
镴	镴 鑞
鳢	鳢 鱧
坜	坜 壢
轹	轹 轢
昽	昽 曨
俫	俫 倈
哢	哢 咔
鸰	鸰 鴒
梾	梾 棶
稆	稆 穭
脶	脶 腡
辌	辌 輬
铹	铹 鐒
锊	锊 鋝
锍	锍 鋶
溇	溇 漊
裣	裣 襝
蔹	蔹 蘞
飗	飗 飀
鹠	鹠 鶹
澛	澛 瀂
懔	懔 懍
鹨	鹨 鷚
镥	镥 鑥
襕	襕 襴
么	么 麽
门	门 門
马	马 馬
灭	灭 滅
们	们 們
迈	迈 邁
吗	吗 嗎
妈	妈 媽
买	买 買
麦	麦 麥
玛	玛 瑪
亩	亩 畝
闷	闷 悶
没	没 沒
卖	卖 賣
码	码 碼
鸣	鸣 鳴
觅	觅 覓
庙	庙 廟
弥	弥 彌 瀰
面	面 麵
蚂	蚂 螞
骂	骂 駡
脉	脉 脈
贸	贸 貿
闽	闽 閩
秘	秘 祕
悯	悯 憫
梦	梦 夢
铭	铭 銘
猫	猫 貓
谋	谋 謀
谜	谜 謎
绵	绵 綿
蛮	蛮 蠻
缅	缅 緬
蒙	蒙 懞 濛 矇
锚	锚 錨
锰	锰 錳
馍	馍 饃
满	满 滿
谬	谬 謬
蔑	蔑 衊
馒	馒 饅
霉	霉 黴
瞒	瞒 瞞
劢	劢 勱
扪	扪 捫
犸	犸 獁
闵	闵 閔
殁	殁 歿
黾	黾 黽
牦	牦 犛 氂
珉	珉 瑉
荬	荬 蕒
祢	祢 禰
唛	唛 嘜
钼	钼 鉬
铆	铆 鉚
猕	猕 獼
焖	焖 燜
渑	渑 澠
谟	谟 謨
幂	幂 冪
谧	谧 謐
缈	缈 緲
缗	缗 緡
